"id","timestamp","co2","temperature","humidity","motion","water_meter","controller_input_0","controller_input_1","controller_output_0","controller_output_1","position_coordinates","position_altitude","cellular_signal_quality","bluetooth_devices"
10,2024-04-16 00:00:14.452 +0200,,0.0,,,,true,false,false,true,"(6.855164,52.241078)",39.1,68,
15,2024-04-16 00:02:46.671 +0200,,0.0,,,,true,false,true,true,"(6.855208,52.241042)",45.6,83,
10,2024-04-16 00:05:23.827 +0200,,0.0,,,,true,false,false,true,"(6.855216,52.241127)",33.5,67,
15,2024-04-16 00:07:56.219 +0200,,0.0,,,,true,false,true,true,"(6.855227,52.241081)",42.8,75,
10,2024-04-16 00:10:33.204 +0200,,0.0,,,,true,false,false,true,"(6.85523,52.241133)",29.9,68,
15,2024-04-16 00:13:05.787 +0200,,0.0,,,,true,false,true,true,"(6.855208,52.241095)",39.4,75,
10,2024-04-16 00:15:42.519 +0200,,0.0,,,,true,false,false,true,"(6.855208,52.241111)",33.7,68,
15,2024-04-16 00:18:15.285 +0200,,0.0,,,,true,false,true,true,"(6.855239,52.241138)",28.3,75,
10,2024-04-16 00:20:51.869 +0200,,0.0,,,,true,false,false,true,"(6.855198,52.241095)",35.8,78,
15,2024-04-16 00:23:24.841 +0200,,0.0,,,,true,false,true,true,"(6.855218,52.241117)",31.4,80,
10,2024-04-16 00:26:01.392 +0200,,0.0,,,,true,false,false,true,"(6.855211,52.241105)",31.6,68,
15,2024-04-16 00:28:34.427 +0200,,0.0,,,,true,false,true,true,"(6.855293,52.241118)",33.3,73,
10,2024-04-16 00:31:10.688 +0200,,0.0,,,,true,false,false,true,"(6.855247,52.241137)",30.7,67,
15,2024-04-16 00:33:46.601 +0200,,0.0,,,,true,false,true,true,"(6.855266,52.241098)",36.8,73,
10,2024-04-16 00:36:20.109 +0200,,0.0,,,,true,false,false,true,"(6.855232,52.241121)",33.2,78,
15,2024-04-16 00:38:56.099 +0200,,0.0,,,,true,false,true,true,"(6.855251,52.24109)",38.9,73,
10,2024-04-16 00:41:29.456 +0200,,0.0,,,,true,false,false,true,"(6.85522,52.241112)",34.9,70,
15,2024-04-16 00:44:05.750 +0200,,0.0,,,,true,false,true,true,"(6.855267,52.241112)",31.5,73,
10,2024-04-16 00:46:43.357 +0200,,0.0,,,,true,false,false,true,"(6.855212,52.241106)",35.7,67,
15,2024-04-16 00:49:15.318 +0200,,0.0,,,,true,false,true,true,"(6.855245,52.241094)",34.9,84,
10,2024-04-16 00:51:54.657 +0200,,0.0,,,,true,false,false,true,"(6.855203,52.2411)",37.5,65,
15,2024-04-16 00:54:24.830 +0200,,0.0,,,,true,false,true,true,"(6.855226,52.24108)",38.4,75,
10,2024-04-16 00:57:04.099 +0200,,0.0,,,,true,false,false,true,"(6.855216,52.241123)",35.8,67,
15,2024-04-16 00:59:34.346 +0200,,0.0,,,,true,false,true,true,"(6.855214,52.241069)",40.7,73,
10,2024-04-16 01:02:13.467 +0200,,0.0,,,,true,false,false,true,"(6.855234,52.241139)",34.4,67,
15,2024-04-16 01:04:43.939 +0200,,0.0,,,,true,false,true,true,"(6.855273,52.241056)",52.0,76,
10,2024-04-16 01:07:22.814 +0200,,0.0,,,,true,false,false,true,"(6.855216,52.241126)",35.8,68,
15,2024-04-16 01:09:53.457 +0200,,0.0,,,,true,false,true,true,"(6.855235,52.24104)",54.7,76,
10,2024-04-16 01:12:32.258 +0200,,0.0,,,,true,false,false,true,"(6.855215,52.24111)",37.6,65,
15,2024-04-16 01:15:03.042 +0200,,0.0,,,,true,false,true,true,"(6.85521,52.241029)",56.5,73,
10,2024-04-16 01:17:41.568 +0200,,0.0,,,,true,false,false,true,"(6.855229,52.241123)",44.6,68,
15,2024-04-16 01:20:15.106 +0200,,0.0,,,,true,false,true,true,"(6.855233,52.241091)",49.7,75,
10,2024-04-16 01:22:50.918 +0200,,0.0,,,,true,false,false,true,"(6.855213,52.241108)",46.0,68,
15,2024-04-16 01:25:24.632 +0200,,0.0,,,,true,false,true,true,"(6.8552,52.241074)",51.8,73,
10,2024-04-16 01:28:00.374 +0200,,0.0,,,,true,false,false,true,"(6.855199,52.2411)",46.5,71,
15,2024-04-16 01:30:36.219 +0200,,0.0,,,,true,false,true,true,"(6.855332,52.241121)",46.6,71,
10,2024-04-16 01:33:09.709 +0200,,0.0,,,,true,false,false,true,"(6.855251,52.241117)",44.7,62,
15,2024-04-16 01:35:45.894 +0200,,0.0,,,,true,false,true,true,"(6.85529,52.241105)",48.1,73,
10,2024-04-16 01:38:19.006 +0200,,0.0,,,,true,false,false,true,"(6.855235,52.24111)",45.5,62,
15,2024-04-16 01:40:55.512 +0200,,0.0,,,,true,false,true,true,"(6.855272,52.241093)",48.6,73,
10,2024-04-16 01:43:31.017 +0200,,0.0,,,,true,false,false,true,"(6.85522,52.241101)",49.0,73,
15,2024-04-16 01:46:05.130 +0200,,0.0,,,,true,false,true,true,"(6.855256,52.241085)",48.9,75,
10,2024-04-16 01:48:42.984 +0200,,0.0,,,,true,false,false,true,"(6.855209,52.241088)",48.9,68,
15,2024-04-16 01:51:16.831 +0200,,0.0,,,,true,false,true,true,"(6.855197,52.241147)",45.9,73,
10,2024-04-16 01:53:52.310 +0200,,0.0,,,,true,false,false,true,"(6.855199,52.241075)",48.7,70,
15,2024-04-16 01:56:26.342 +0200,,0.0,,,,true,false,true,true,"(6.855164,52.241124)",49.3,73,
10,2024-04-16 01:59:01.656 +0200,,0.0,,,,true,false,false,true,"(6.855198,52.241066)",48.6,60,
15,2024-04-16 02:01:40.479 +0200,,0.0,,,,true,false,true,true,"(6.855261,52.241123)",39.8,73,
10,2024-04-16 02:04:11.061 +0200,,0.0,,,,true,false,false,true,"(6.855228,52.241125)",43.8,68,
15,2024-04-16 02:06:52.626 +0200,,0.0,,,,true,false,true,true,"(6.855251,52.241109)",39.9,71,
10,2024-04-16 02:09:24.949 +0200,,0.0,,,,true,false,false,true,"(6.855218,52.24111)",44.6,65,
15,2024-04-16 02:12:04.699 +0200,,0.0,,,,true,false,true,true,"(6.85524,52.241092)",40.8,75,
10,2024-04-16 02:14:34.369 +0200,,0.0,,,,true,false,false,true,"(6.855213,52.2411)",44.9,76,
15,2024-04-16 02:17:14.202 +0200,,0.0,,,,true,false,true,true,"(6.855365,52.241115)",40.5,75,
10,2024-04-16 02:19:45.676 +0200,,0.0,,,,true,false,false,true,"(6.855205,52.241094)",38.1,67,
