"id","timestamp","active_energy_import","active_energy_export","reactive_energy_import","reactive_energy_export","current_l1","current_l2","current_l3","active_power","active_power_l1","active_power_l2","active_power_l3","grid_frequency","voltage_l1","voltage_l2","voltage_l3"
10,2024-04-16 00:05:23.827 +0200,312804,3,64,181219,0.0,0.028,0.024,7.0,0.0,5.0,1.0,49.9,236.7,237.9,237.8
10,2024-04-16 00:10:33.204 +0200,312805,3,64,181219,0.0,0.028,0.026,7.0,0.0,6.0,0.0,49.9,236.4,237.8,237.7
10,2024-04-16 00:15:42.519 +0200,312805,3,64,181221,0.0,0.028,0.024,7.0,0.0,6.0,0.0,49.9,236.5,237.8,237.7
10,2024-04-16 00:20:51.869 +0200,312806,3,64,181221,0.0,0.029,0.025,7.0,0.0,6.0,0.0,49.9,236.8,238.1,237.8
10,2024-04-16 00:26:01.392 +0200,312806,3,64,181222,0.0,0.028,0.026,7.0,0.0,5.0,0.0,49.9,237.2,238.5,238.4
10,2024-04-16 00:31:10.688 +0200,312807,3,64,181222,0.0,0.029,0.026,7.0,0.0,6.0,1.0,49.9,237.6,238.8,238.8
10,2024-04-16 00:36:20.109 +0200,312807,3,64,181224,0.0,0.028,0.025,8.0,0.0,5.0,1.0,49.9,237.6,238.9,238.8
10,2024-04-16 00:41:29.456 +0200,312808,3,64,181224,0.0,0.029,0.024,7.0,0.0,6.0,0.0,49.9,237.8,239.1,238.9
10,2024-04-16 00:57:04.099 +0200,312810,3,64,181227,0.0,0.029,0.022,7.0,0.0,6.0,0.0,49.9,238.3,239.6,239.4
10,2024-04-16 01:02:13.467 +0200,312811,3,64,181227,0.0,0.028,0.025,7.0,0.0,5.0,0.0,49.9,238.2,239.4,239.4
10,2024-04-16 01:07:22.814 +0200,312811,3,64,181228,0.0,0.028,0.024,7.0,0.0,6.0,0.0,49.9,239.3,239.4,239.2
10,2024-04-16 01:12:32.258 +0200,312812,3,64,181229,0.0,0.028,0.024,7.0,0.0,6.0,0.0,49.9,238.3,239.7,239.4
